1959,Chuck Berry,Johnny B. Goode,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2?si=918c01daadb74feb
1964,Chuck Berry,You Never Can Tell,https://open.spotify.com/track/6FT83pFXKhDlXDsNJFAHWz?si=d75899c161674438
1966,Rolling Stones,"Paint it, Black",https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8?si=07e05c4ccd3348f0
1968,Deep Purple,Hush,https://open.spotify.com/track/5mGOwC8j3PPI0Vbo4bq0Lx?si=96f0719b33ef4429
1969,The Beatles,Come Together,https://open.spotify.com/track/2EqlS6tkEnglzr7tkKAAYD?si=cd007b2b61ea440d
1969,Creedance Clearwater Revival,Fortunate Son,https://open.spotify.com/track/4BP3uh0hFLFRb5cjsgLqDh?si=ec7487c84ebf405d
1970,Led Zeppelin,Immigrant Song,https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx?si=26e1959fca0d40b7
1970,Black Sabbath ,Iron Man,https://open.spotify.com/track/74fURW8XNuLYHOvKmjA2XT?si=a1174f316ed946ef
1971,The Who,Won't Get Fooled Again,https://open.spotify.com/track/0cJPLFrlV7TTCyPLupHzcH?si=3d5d22661fe545f1
1971,Led Zeppelin,Black Dog,https://open.spotify.com/track/3qT4bUD1MaWpGrTwcvguhb?si=b40620e4938e49f7
1972,Deep Purple,Highway star,https://open.spotify.com/track/79q7xFOodcfIVbpNHjE2gB?si=8f48c43d75a541bc
1973,Pink Floyd,Time,https://open.spotify.com/track/3TO7bbrUKrOSPGRTB5MeCz?si=327cdd9164cd4e76
1973,Elvis Presley,Burning Live,https://open.spotify.com/track/7zMUCLm1TN9o9JlLISztxO?si=7f797a3d72654eaa
1975,Queen,Bohemian Rapsody,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv?si=cd11fc0f52ba4de2
1977,Queen,We Will Rock You,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn?si=3162efbf21e74cad
1977,Iggy Pop,The Passenger,https://open.spotify.com/track/15BQ7vEDv2LJuh8TxWIhtd?si=98866cf70d7d40b3
1979,AC/DC,Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s?si=69e1898fac494ac5
1980,Black Sabbath ,Heaven and Hell,https://open.spotify.com/track/5qxN63QA4Hk1zgdLCsZFE2?si=58e0828d2ccf405e
1982,Iron Maiden,The Number Of The Beast,https://open.spotify.com/track/3nlGByvetDcS1uomAoiBmy?si=4e234f9186014c40
1983,Iron Maiden,The Trooper,https://open.spotify.com/track/4OROzZUy6gOWN4UGQVaZMF?si=1abb78ff03024ea4
1983,Dio,Holly Diver,https://open.spotify.com/track/54yLLvpezvPO1lA3GspiZj?si=4ceb0673f5d84b7f
1984,Dio,The Last In Line,https://open.spotify.com/track/5fIZDuxfuM4tANRHZ8Btju?si=f0da4514f9ca4390
1984,Metallica ,For Whom the Bell Tolls,https://open.spotify.com/track/2dXsILW8gzkosqleHAvl0v?si=cab8240674d24184
1985,Megadeth,Mehanix,https://open.spotify.com/track/2bfwYcc1FzkIym0XRkYb7F?si=f901d4f0bb7546be
1986,Metallica ,Master of Puppets,https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i?si=626c7b2fb2f04ffa
1986,Slayer,Raining Blood,https://open.spotify.com/track/4fiOTntQKr24p07FvQDHZE?si=2b35f26509bb46b8
1986,Megadeth,Peace Sells,https://open.spotify.com/track/3090goAxG6IlpCifA8m9xB?si=7c94350f87554598
1987,Mötley Crüe,"Girls, Girls, Girls",https://open.spotify.com/track/3439OLNIeD3y68kVuoZUO5?si=836d0115c6a84da5
1987,Guns N' Roses,Sweet Child O' Mine,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW?si=6115ce1582df4199
1988,Metallica,One,https://open.spotify.com/track/02xhLoVqpGmOqvolgrwM8w?si=3ca9a0b127094259
1988,Slayer,South of Haven,https://open.spotify.com/track/3U9gogDStAfWxSm91PJuxb?si=73c595b9d9ca4d10
1990,Pantera,Cowboys from Hell,https://open.spotify.com/track/2SgbR6ttzoNlCRGQOKjrop?si=d553dc2b02814021
1990,Slayer,Seasons in the Abyss,https://open.spotify.com/track/3Ky8IzV8IVSwijtaTWB2SK?si=bfebdbdb08964a1a
1990,Megadeth,Holy Wars...The Punishment Due,https://open.spotify.com/track/5LyRtsQLhcXmy50VXhQXXS?si=f62bb7b415204f65
1991,Sepulura,Arise,https://open.spotify.com/track/1erRDf98WX0VllciGPYO1H?si=7e242f8792854c94
1991,Nirvana,Come As You Are,https://open.spotify.com/track/2RsAajgo0g7bMCHxwH3Sk0?si=362eccb82be645e8
1991,Guns N' Roses,Civil War,https://open.spotify.com/track/6i4Qi1mJxXjqNIL9HfJhRs?si=141e607639af4422
1992,Alice In Chains,Would?,https://open.spotify.com/track/5sFDReWLrZHLFZFjHsjUTS?si=a1500508659b4575
1992,Pantera,Walk,https://open.spotify.com/track/2QiqwOVUctPRVggO9G1Zs5?si=a6ee992e9a844e74
1992,Dream Theater,Pull Me Under,https://open.spotify.com/track/5CPXR6lDTvngxtmMZxnWmC?si=b2d4bba5aa86408a
1992,Rage Against The Machine,Wake Up,https://open.spotify.com/track/2QiqwOVUctPRVggO9G1Zs5?si=a89667714ee04c73
1993,The Smashing Pumpkins,Cherub Rock,https://open.spotify.com/track/0F2LiyHp9E0pAanpfnzHNp?si=2673d39c06d94ab9
1993,Pearl Jam,Dissident,https://open.spotify.com/track/1NnUbdEvJigY0ARnoOgDrv?si=52e6ba72463c4850
1993,Tool,Sober,https://open.spotify.com/track/6DyywdbmTzlmXBzG9ym7Rt?si=ba99b7daaa344a4f
1994,Machine Head,Davidian,https://open.spotify.com/track/67V1kXCX5YMUCTLW3MGceP?si=bccdf77a6ee0449f
1994,Korn,Blind,https://open.spotify.com/track/1pr9TZGOXeJUggIal1Wq3R?si=dae8b932904b4556
1994,Pantera,I'm broken,https://open.spotify.com/track/28MClwVVdwnQ695C4sJp9Y?si=708e379d8ebe43bf
1995,Deftones,Engine No.9,https://open.spotify.com/track/5vVKkF3xih38Vcoo4HgAo8?si=1972cb3ea3904d9d
1996,In Flames,Moonshield,https://open.spotify.com/track/3gqdwcfzDsJvuPQ8oSZCxq?si=c191adca035341de
1996,Sepulura,Roots Bloody Roots,https://open.spotify.com/track/6ursmCnbc9oDRGa2yHKkoZ?si=cabe083b3ec642a9
1996,Tool,Forty Six & 2,https://open.spotify.com/track/6AioOohg4bQZFA4jIYQQ2r?si=f5d17b63f3034b3c
1997,Deftomes,My Own Summer (Shove it),https://open.spotify.com/track/1158ckiB5S4cpsdYHDB9IF?si=af4c5f3399584ca0
1997,Foo Fighters,Everlong,https://open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk?si=cdb1390fb82d478c
1997,Guano Apes,Lodrs of the Boards,https://open.spotify.com/track/54Kox6D5c5JNW9ujt3hcOW?si=f7a630a232db467c
1997,Rammstein,Engel,https://open.spotify.com/track/5Zuboc3Cj9Ldnc8HyUnNUK?si=e93463e2ca274cf6
1998,Sepulura,Choke,https://open.spotify.com/track/4QhD6YPmGUnAJQDgrMEgMm?si=a6246446c5e64a2a
1998,Korn,Freak On A Leash,https://open.spotify.com/track/6W21LNLz9Sw7sUSNWMSHRu?si=def28f3544214481
1998,System Of A Down,Suite-Pee,https://open.spotify.com/track/1qGmxIGEuBEkj7bft72Kh0?si=b645ebc425574ef0
1999,Rage Against The Machine,Guerilla Radio,https://open.spotify.com/track/1uWXRX62AWuII2FmsaPf2d?si=c977bd228fbf4a19
1999,Limp Bizkit,Break Stuff,https://open.spotify.com/track/5cZqsjVs6MevCnAkasbEOX?si=f5212a85f8a7470e
1999,Slipknot,Wait and Bleed,https://open.spotify.com/track/15DLl1r2zi07Ssq5RT1yT0?si=1051930e80da4f76
2000,Disturbed,Down With The Sickness,https://open.spotify.com/track/40rvBMQizxkIqnjPdEWY1v?si=3aadcb89ed8e4986
2000,Rage Against The Machine,Renegades Of Funk,https://open.spotify.com/track/5YBVDvTSSSiqv7KZDeUlXA?si=753497460c594631
2000,Linkin Park,One Step Closer,https://open.spotify.com/track/4bYLTrlcqctyHck3fjhMgW?si=0ebab82752c04d6b
2000,Limp Bizkit,My Way,https://open.spotify.com/track/2gSVKxPDww9Eep5rdvtdem?si=6a31900d1ac54573
2001,Rammstein,Sonne,https://open.spotify.com/track/3gVhsZtseYtY1fMuyYq06F?si=22f207310e9b4662
2001,P.O.D.,Boom,https://open.spotify.com/track/5DooySfCD1xCJ49gQm9rx7?si=5a96df60be8542c4
2001,Tool,Schism,https://open.spotify.com/track/55mJleti2WfWEFNFcBduhc?si=06f8c2890c3f4a93
2001,Papa Roach,Last Resort,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky?si=bada9d6259644b76
2001,The Rasmus,F-F-F-Falling,https://open.spotify.com/track/7354uFmnnNEPQjJizC6b3n?si=626ddccd2e3e48ee
